id_produto,nome_produto,categoria,preco_atual,ativo,qtd_vendida_total,qtd_vendida_30d,qtd_vendida_90d,receita_total,receita_30d,qtd_tickets_associados,qtd_tickets_30d,taxa_problema,qtd_avaliacoes,nota_media,pct_recomendam,qtd_visualizacoes,qtd_carrinho,taxa_conversao,classificacao,data_referencia_calculo
PROD-0001,Smartphone 128GB,Eletronicos,2504.00,false,7469,25,205,14356017.90,36489.04,510,0,0.0683,1247,3.61,73.30,125,138,59.7520,Top Vendedor,2026-05-22
PROD-0002,Smartphone 64GB,Sem categoria,1906.00,true,8255,113,670,12690414.25,157570.18,299,0,0.0362,1327,3.71,76.49,112,142,73.7054,Top Vendedor,2026-05-22
PROD-0003,Smartphone 256GB,Eletronicos,3955.00,true,7734,94,555,23312758.54,248218.44,295,0,0.0381,1277,3.66,74.86,126,138,61.3810,Top Vendedor,2026-05-22
PROD-0004,Notebook Intel Core i5,Eletronicos,3359.00,true,7364,39,190,19152810.84,92072.65,527,0,0.0716,1211,3.50,68.79,112,114,65.7500,Problematico,2026-05-22
PROD-0005,Notebook Intel Core i7,Eletronicos,3364.00,true,8883,82,494,22789865.28,186015.27,265,0,0.0298,1478,3.69,75.24,111,161,80.0270,Top Vendedor,2026-05-22
PROD-0006,Notebook Intel Core i3,Eletronicos,1631.00,true,4619,61,319,5628859.91,69013.44,188,0,0.0407,754,3.66,71.88,138,112,33.4710,Top Vendedor,2026-05-22
PROD-0007,Smart TV 50 Polegadas,Eletronicos,2319.00,true,7286,37,185,13020902.31,59511.67,564,0,0.0774,1266,3.52,70.46,126,124,57.8254,Problematico,2026-05-22
PROD-0008,Smart TV 43 Polegadas,Eletronicos,1486.00,false,8586,77,451,9819575.46,78055.97,268,0,0.0312,1434,3.68,74.69,118,119,72.7627,Top Vendedor,2026-05-22
PROD-0009,Smart TV 55 Polegadas,Eletronicos,3746.00,true,7803,97,602,21923847.43,244946.00,314,0,0.0402,1291,3.69,76.14,120,136,65.0250,Top Vendedor,2026-05-22
PROD-0010,Smart TV 32 Polegadas,Eletronicos,1327.00,true,7884,112,560,7972308.30,104068.43,280,0,0.0355,1298,3.68,74.42,131,140,60.1832,Top Vendedor,2026-05-22
PROD-0011,Tablet 10 Polegadas,Eletronicos,682.00,true,1077,11,182,549413.79,5285.63,83,0,0.0771,159,3.79,75.47,114,120,9.4474,Problematico,2026-05-22
PROD-0012,Tablet 8 Polegadas,Eletronicos,583.00,false,5567,40,219,2551458.32,15761.91,157,0,0.0282,940,3.69,76.38,95,131,58.6000,Top Vendedor,2026-05-22
PROD-0013,Fone de Ouvido Bluetooth,Eletronicos,,true,5661,56,241,449861.50,3685.46,198,0,0.0350,942,3.70,77.49,120,140,47.1750,Top Vendedor,2026-05-22
