ano,mes,ano_mes,qtd_pedidos,qtd_pedidos_aprovados,qtd_pedidos_recusados,qtd_pedidos_reembolsados,qtd_pedidos_processando,receita_bruta,ticket_medio,qtd_clientes_unicos,qtd_clientes_novos,taxa_aprovacao,taxa_recusa,taxa_reembolso,categoria_mais_vendida,estado_maior_receita,data_referencia_calculo
2023,1,2023-01,4819,4504,169,95,51,5612311.18,1246.07,4242,4242,93.46,3.51,1.97,Eletronicos,São Paulo,2026-05-22
2023,2,2023-02,4330,4007,181,89,53,4513364.97,1126.37,3807,3469,92.54,4.18,2.06,Eletronicos,São Paulo,2026-05-22
2023,3,2023-03,5691,5289,208,141,53,6954477.28,1314.89,4918,4147,92.94,3.65,2.48,Eletronicos,São Paulo,2026-05-22
2023,4,2023-04,5833,5425,220,120,68,7243713.46,1335.25,5049,3774,93.01,3.77,2.06,Eletronicos,São Paulo,2026-05-22
2023,5,2023-05,6109,5684,233,126,66,8403643.76,1478.47,5305,3589,93.04,3.81,2.06,Eletronicos,São Paulo,2026-05-22
2023,6,2023-06,6456,6022,240,135,59,9185232.14,1525.28,5583,3353,93.28,3.72,2.09,Eletronicos,São Paulo,2026-05-22
2023,7,2023-07,6052,5672,208,107,65,7561521.06,1333.13,5250,2725,93.72,3.44,1.77,Eletronicos,São Paulo,2026-05-22
2023,8,2023-08,6107,5679,234,122,72,7657846.50,1348.45,5281,2446,92.99,3.83,2.00,Eletronicos,São Paulo,2026-05-22
2023,9,2023-09,6320,5874,270,111,65,7970262.82,1356.87,5458,2248,92.94,4.27,1.76,Eletronicos,São Paulo,2026-05-22
2023,10,2023-10,6494,6019,263,144,68,8586438.27,1426.56,5591,2059,92.69,4.05,2.22,Eletronicos,São Paulo,2026-05-22
2023,11,2023-11,8958,8362,362,163,71,16183484.98,1935.36,7515,2451,93.35,4.04,1.82,Eletronicos,São Paulo,2026-05-22
2023,12,2023-12,7610,7095,315,140,60,12919779.06,1820.97,6474,1818,93.23,4.14,1.84,Eletronicos,São Paulo,2026-05-22
2024,1,2024-01,6101,5678,255,108,60,7991302.72,1407.42,5274,1237,93.07,4.18,1.77,Eletronicos,São Paulo,2026-05-22
2024,2,2024-02,5842,5445,226,104,67,7950093.62,1460.07,5087,1094,93.20,3.87,1.78,Eletronicos,São Paulo,2026-05-22
2024,3,2024-03,7065,6573,287,130,75,9893163.57,1505.12,6088,1147,93.04,4.06,1.84,Eletronicos,São Paulo,2026-05-22
2024,4,2024-04,7366,6852,300,142,72,11015411.88,1607.62,6318,1086,93.02,4.07,1.93,Eletronicos,São Paulo,2026-05-22
